1	1	1	18	18	full house	4	576.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	1	2	3	3	apartment	2	96.99	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	1	4	4	apartment	1	76.99	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0
4	1	2	6	6	full house	3	208.99	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
5	1	4	13	13	apartment	3	86.99	1	1	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	1	0	1	0	1	1	0	1	1	0	1	0	0
6	1	5	15	15	room	1	65.99	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
7	1	8	4	4	apartment	2	65.99	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0
8	1	1	2	2	full house	3	209.99	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
9	0	9	7	7	full house	4	176.99	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
10	1	1	28	28	apartment	2	77.99	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0
11	1	3	5	5	full house	3	155.99	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
12	1	1	4	4	apartment	1	54.99	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
13	1	1	19	19	room	1	64.99	0	1	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
14	1	11	16	16	apartment	2	83.99	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0
15	1	1	14	14	apartment	1	71.99	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0
16	0	1	21	21	room	1	45.99	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0
17	1	9	23	23	apartment	3	84.99	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1
18	1	1	27	27	apartment	3	123.99	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	1	15	19	19	room	1	56.99	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	4	26	16	full house	3	148.99	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
